Labels	Clips
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	the 18.1MP sensor
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	pictures looked dull 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	The pictures looked dull
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	pictures are much much better
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	  I changed the camera to P S A 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	amazed by the Canon T3i quality.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Very fast auto focus on shooting
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	very high ISO levels in Auto Mode
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	pictures they are professional looking
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	The grain was drowning out the details
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	 point and shoot the pictures are great.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Compared to my Kodak point and shoot the pictures are great
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	some great shots for him to send to recruiters and colleges
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	18MP Stills  best for the money competitors are usually 16MP
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Compared to my Kodak point and shoot the pictures are great.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Compared to my Kodak point and shoot the pictures are great.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Compared to my Kodak point and shoot the pictures are great.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	ok some picture with the Auto mode and they came out very good
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	went for the T3i over the T2i because of the articulating LCD screen
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	nature shots portrait shots and sports shots they have all come out amazing
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Ive taken some stunning RAW photos and 1080p video with this camera/lens combo
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I have taken nature shots portrait shots and sports shots they have all come out amazing
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I took the camera out to the beach and tested it and was amazed by the Canon T3i quality
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I have taken nature shots portrait shots and sports shots they have all come out amazing.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I took the camera out to the beach and tested it and was amazed by the Canon T3i quality.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	 there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	my pictures they are professional looking my family and friends say and these are just on the automatic setting
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	You would expect Auto Modes to take easy great pictures in an entry level camera most people coming from point and shoot cameras.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	 Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this camera.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this camera. I have done months of
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras. Picture quality on this t2i is stunning
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	In addition if youd love to take beautiful portraits for your beloved ones Id highly recommend you to also get a Nikon 35mm f/1.8G AF-S DX Lens for Nikon Digital SLR Cameras. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I asked a good 10 friends of mine which camera out there was my best bang for my buck They all said the t2i or t3i its a great starter camera and will profuce amazing pictures as well. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Auto point and shoot Mode was not taking the quality of pictures I was hoping for.  The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	They love their camera so I figured this was a good choice.  Unfortunately I have not learned enough to take many pictures off of Auto mode so it acts like a point and shoot.  Compared to my Kodak point and shoot the pictures are great.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	 took the camera out to the beach and tested it and was amazed by the Canon T3i quality. I literally took a picture of a surfer 75 Yards away with the kit lens and was able to zoom in in Photoshop and crop an up close beautiful detailed picture of the surfer. 
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	You would expect Auto Modes to take easy great pictures in an entry level camera most people coming from point and shoot cameras.  If you want sharp pictures you have to use P S A or M modes with the D3100.  There you can control the ISO manually or use Auto ISO and choose a lower maximum ISO setting.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	Camera is just amazing. For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras. Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this camera
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	I sent that camera back and purchased a new one from Amazon.  Same problem.  Well I have since done some research and participated in forums and found out there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting.  This is causing the grain/dull/no detailed photos.
Picture Quality Nikon D3100 1080p Adobe Photoshop Point-and-shoot camera Camera D5000 Live preview Autofocus Focal length Shutter speed Viewfinder Zoom lens (photography) Ultrasonic motor Canon (company) Flash Color balance Film Drowning Eastman Kodak 135 film Mode dial Ergonomics Macrophotography DV Telephoto Firmware Digital single-lens reflex Single-lens F-number 35 mm DX format Lens (optics) Wide-angle Angle Image resolution Megapixel Liquid crystal display Pixel Display Computer monitor Out of the box	he pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.  I changed the camera to P S A 
