Wireless,N
Auto Lens Mode,correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level.
Price,We love these carseats.  It is a big seat especially rear facing.  We have a Sienna mini van and we had them both on the bench seat.  Unfortunately we had to turn them forward facing before their second birthday because they did not fit backwards.
Expertise,If your looking for a great Camera look no further you have found it  If you are debating over the T2i vs the T3i there isnt much that is different it is preference whether you need a view finder that moves and if that feature is worth the extra 100
Delivery Time,No wireless remote.2. Low resolution of LCD screen. It only has 230000 pixels Canon t2i has 1.02 million pixels. Sometimes when youre viewing playback you may need to zoom in to check the sharpness of the picture or do it with your computer monitor.
Comfort,If your looking for a great Camera look no further you have found it  If you are debating over the T2i vs the T3i there isnt much that is different it is preference whether you need a view finder that moves and if that feature is worth the extra 100.
Cover,If your looking for a great Camera look no further you have found it  If you are debating over the T2i vs the T3i there isnt much that is different it is preference whether you need a view finder that moves and if that feature is worth the extra 100. 
Safety,Even though my son isnt quiet 1 yet he was ready for a more toddler friendly seat. This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat.
Price/availability,It makes a huge difference knowing you can press the shutter and the camera will instantly take a picture.  The T3i however adds frequent and unpredictable delays when  busy  flashes in the viewfinder and the red light is on -- even in continuous mode.
Ease Of Use,Starting off on full auto moving through the different pre-determined settings sports portrait landscape etc and the into the manual modes.  I figure Im another year or so with this and Ill be ready to upgrade to the 7D and pass this on to my daughter.
LCD Screen,he biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out.
Material,I chose it because it has the highest safety rating. The instructions were a little hard for me to follow remember now I am the grandma and over 50 so please keep it simple   I did end up having my son install it for me.  The chair is excellent quality.
Material,the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out
Material,This car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well.
Material,Air 65 car seat that we have purchased so we could have one in each car.  I have a baby on the way and know the seat will be durable enough to withstand constant use through 2 children   Of course safety is our main concern but this seat is also stylish 
Material,D3100 choosing very high ISO levels in Auto Mode no matter the setting.  This is causing the grain/dull/no detailed photos.  You would expect Auto Modes to take easy great pictures in an entry level camera most people coming from point and shoot cameras.
Comfort,the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out.
Comfort,This car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well. 
Comfort, the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out.
Comfort,I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.  The camera feels solid and is easy to hold with the very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.
Comfort,I was used to using point-and-shoots and small flip style video cameras to make my videos.  I looked into DSLRs and really wanted a canon.  YOU CANT GO WRONG WITH THIS CAMERA   It is great for intermediate shooters who want to get their first or second DSLR.
Comfort,Im glad to have this camera it has everything comparable to canon t2  1080p movie 14.2 mp 502g light weight. 3 inch screen . i dont really mind the 230k dots screen its very bright and clear anyways compare to 900+ dots  .  the price in amazon is very cheap.
Comfort,My other con is that it was extremely difficult to install it rear facing. Between my 3 kids Ive been through about 6 different convertible car seats in the past 8 years and this one was by far the most difficult to install rear facing with the vehicle belt.
Comfortable Texture,  I went so far as to query some industry professionals that use Canon DSLRs to make a living.  This camera is exactly as it is advertised basically a 7D in a crop body with user-friendly controls and the advanced functionality that Canon DSLRs are known for.
User Comfort,.  I find the ergonomic arrangement of controls on the camera to very very intuitive and pleasant to use.  The camera feels solid and is easy to hold with the very adequate right hand grip that has a rubberized cover allowing the user to maintain a firm grip.
Nice Material,If you see the video when shopping for a car seat I found this to be a great deal for the price. I understand each car seat has to meet standards but I have been please with this one and my husband just purchased an extra one to have in his 06Nissan Frontier.
Overall,lets talk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera it has surpassed what I have expected for a camera I am unbelievably happy with my purchase.
Usage,The instructions were simple and there was no wondering whether or not you got it right. Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra. As for sleeping my little ones head did not hang over once
User Friendliness, took the camera out to the beach and tested it and was amazed by the Canon T3i quality. I literally took a picture of a surfer 75 Yards away with the kit lens and was able to zoom in in Photoshop and crop an up close beautiful detailed picture of the surfer. 
Comfort,he 600d has better continuous recording you have better manual capabilities. after a lot research i decided to go with the canon i went with a t3i and not a t2i for the flip around screen. i shoot in awkward positions sometimes and it defiantly comes in handy.
Durability,I took the camera out to the beach and tested it and was amazed by the Canon T3i quality. I literally took a picture of a surfer 75 Yards away with the kit lens and was able to zoom in in Photoshop and crop an up close beautiful detailed picture of the surfer.
Speed,Its rugged enough that I dont worry about breaking it heavy enough to know its quality but light enough that I dont mind carrying it around all day.  I have used the f1.8 and the Tamron 70-300 lenses as well as the kit lens and love learning every day with it.
Quality,ot it for 699  including the VR 55-200mm + camera bag with DVD .  i also used the transcend 32 gb class 10 from amazon for 50 work without any problems . also bought battery at amazon for 27  EN EL 14   way way  amazing purchase. i have probably saved  200-300
Install,I chose the t2i over t3i because I didnt feel I would need to use the movable lcd screen and couldnt justify spending that much money on it. If you are condsidering the t3i go ahead and get the 60d. If youd like to see the work I have done with my t2i and 50mm.
Same As Earlier Version,While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Colors,It looks just as it is pictured comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby. It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Price,now lets talk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera it has surpassed what I have expected for a camera I am unbelievably happy with my purchase.
0,VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. May be regretting the black fabric in Texas summers though.
Picture Quality ,Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
Size For Vehicle,trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level.
User Comparison,Im a film student and was trying to decide between a t3i and Nikon 5100. everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera. the 600d has better continuous recording you have better manual capabilities.
Beginner Friendly, This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera
Change Lens,ros VERY easy to install base in car. It takes my husband less than 2 minutes.  excellent padding and very nice soft fabric. I rolled some burp cloths on the side to stabilize his head while hes still small. May be regretting the black fabric in Texas summers though.
Material,After searching and searching for a DSLR camera I had almost convinced myself of the T2i. I resisted and ended up waiting to purchase the T3i which was the best decision I made. At a glance the camera has a good feel to it and overall has the same features as the T2i.
Cost,This camera is very tight on power consumption and has extreme accuracy when you set it for pinpoint focusing as I do for model and portrait photography work. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. 
Adjustable,One disappointment was that the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge
Lens,One disappointment was that the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge 
Video Taking,The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses.
Comfortable,. The macro features are also on par with its more advanced and WAY higher priced big brothers to this camera. Now the 18.1MP sensor.....WOW  The image sizes of the CMOS sensor allow me great latitude in adjusting and tweaking my RAW images anytime I wish to be creative.
Comfortable,My daughter loves this carseat - its very comfortable and appears to be very safe.  Some seats seemed too bulky and I know my daughter would be a sweaty mess in those styles.  This seat seems to breathe so she remains a comfortable temperature while securely strapped in.
Material,raco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.
Material,The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses. 
Material,Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.
Material,car seat. It looks just as it is pictured comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby. It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Comfort,For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras. Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this c
Comfort,Very bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
Comfort,Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Comfort, But to much of my suprise the True Fit convertable car seat is amazing. My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. I read reviews that it was difficult to install in car but it was easy if you read the instructions.
Comfort, Yes it is a big car seat but safety was my number one priority when upgrading to a toddler car seat so I dont mind the bulk. I love that we can keep the seat rear facing up to 40 lbs now that the AAPs new recommendation is to wait till age 2 this seat makes it easy to do so.
Comfort,Although friends told me that Britax car seats were great I could not see myself spending that much . But to much of my suprise the True Fit convertable car seat is amazing. My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in.
FIt,But to much of my suprise the True Fit convertable car seat is amazing. My son fits comfortably in it and has so much room verses his carrier car seat we brought him home in. I read reviews that it was difficult to install in car but it was easy if you read the instructions. 
Seat Material,Pros- The 18-135mm lens is a nice upgrade to the standard kit 18-55mm lens. Especially if this is your first DSLR and you dont want to spend more money on lenses. It is also good for trips taking pictures of kids or in any other situation where you dont want to change lenses.
Features,The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.
Features,trying to install a car seat is just the worst task ever. The process here was like a dream brought to life. The instructions were simple and there was no wondering whether or not you got it right. Although the seat is big which I love I was able to fit it easily and securely 
Child Comfort,ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue
Their Son Loves It,darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Material Is Very Soft Good For Babies,2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.3. Takes good quality of videos.4. Very fast auto focus on shooting.
Quality,ConsVery bulky. They fit fine in my odyssey mini van but not in my ford focus rear facing. Forward facing they fit in the smaller car ok.Catch a lot of stuff under the paddingCant adjust strap length while in rear facing position. This is most frustrating but not often an issue.
7D,I wanted to start digital photography as a hobby so I decided to buy a nicer camera.  After reading many reviews and comparisons I decided on this camera as it is the update to the Nikon D3000 that a friend of mine has.  They love their camera so I figured this was a good choice
Price,The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100
Price,wait until I read more and experiment. I have taken nature shots portrait shots and sports shots they have all come out amazing. My friends son is Captain of his High School Football team and I have gotten some great shots for him to send to recruiters and colleges now lets talk 
Value, The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100
Lens, For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras. Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this camera.
Lens Kit, main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take. Among the screen the improvement to the video truly being 1080p and the simple menu. The camera itself is very user friendly whether you have read the manual or not.
Breathable,The main differences I noticed in it were the flip out LCD screen which I use more often for some of the photos I take. Among the screen the improvement to the video truly being 1080p and the simple menu. The camera itself is very user friendly whether you have read the manual or not.
Build Quality,Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Additional Things Required,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily   My daughter puked ALL over her carseat and while the main carseat pad comes off and can be laundered in the machine the part that attaches to the headrest DOES NOT come off
Installation,there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.  For the price I expected padding on the ENTIRE carseat and for Graco to not skimp on it.
Video Quality,. Even though my son isnt quiet 1 yet he was ready for a more toddler friendly seat. This delivers he isnt leaning back as far and the sides dont cave in next to him. I could tell he liked having things a little roomier the moment I put him in this seat. He still falls asleep with ease.
Wide-angle Performance,Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.  This is not a professional level SLR but it performs very well as a small light APS-C camera.
Accessories,I chose to purchase the camera body separately so that I could pair it with the EF-S 17-55mm f/2.8 IS USM lens.  Although pricey make no mistake this is the ultimate walk-around lens for a crop body camera.  Ive taken some stunning RAW photos and 1080p video with this camera/lens combo.
Size For Vehicle,I purchased a Nikon D3100 about a month ago and right out of the box I noticed the Auto point and shoot Mode was not taking the quality of pictures I was hoping for.  The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture
Maintenance, Battery life seems to be very good - longer than I expected.  The included corded battery charger will appeal to some but not to those who prefer the travel type charger with a swing-out plug.  This is not a professional level SLR but it performs very well as a small light APS-C camera.
Color,I am a person to research and research again. . .with that being said when I wanted to get a DSLR camera I asked a good 10 friends of mine which camera out there was my best bang for my buck They all said the t2i or t3i its a great starter camera and will profuce amazing pictures as well.
Color,I especially like the articulated LCD screen on the back of the camera that allows it to be positioned so that otherwise very awkward camera positions ie overhead or low to the ground are easily possible.  The view finder is very clear and has all basic settings info on the bottom border.
User Comparison,I will not go into extended technical aspects as I am person that is making a transition from an old point and shoot to this DLSR. Camera is just amazing. For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras.
Features, If you are just starting out are bored with the out of date  point-n-shoot  want to upgrade your digital cams or you want to move from film to digital the T3i will not disappoint. Its an excellent camera for ANY level of photographer - beginner or experienced pro this camera really shines.
Size,For ease of use IQ form factor it wont weigh me down etc. I feel as if the D3100 was a great purchase. Highly recommended to other newbies who want to get involved with digital photography at a reasonable price - as well as experienced photographers who need a reliable easy to carry backup.
Size,Since initially posting Ive purchased these lenses Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras and Canon EF 50mm f/1.8 II Camera Lens and really like what the camera can do. Im more and more certain in the 5 stars I put on this review. Really love this camera
Weight, very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well. Overall a very nice car seat for the price. This is a great option for those of us who cant afford a Britax.
Lens,GRID functions. These work only in LIVE VIEW MODE as Ive found so far. As soon as you move up to manual for full control you lose the grid I use the 3x3 which helps me set my composition. Yes I can use my eye to place an imaginary grid in the viewfinder but WHY when one is readily available.
Lens,pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.  I changed the cam
Lens,Since initially posting Ive purchased these lenses Canon EF 75-300mm f/4-5.6 III USM Telephoto Zoom Lens for Canon SLR Cameras and Canon EF 50mm f/1.8 II Camera Lens and really like what the camera can do. Im more and more certain in the 5 stars I put on this review. Really love this camera.
Lens,Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Lens, Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Lens, absolutely love this car seat. It looks just as it is pictured comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby. It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Lens,his car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well. Overall a very nice car seat for the price
Accessories,  He seemed very comfortable in it and I liked that the extra deep side wings around the head kept his head from slumping to the side.  I love the no rethread harness and although it took me a bit to figure out how to work it it is still fairly simple and much preferrable over the rethread type.
Upgrades Lens If Beginner DSLR,I absolutely love this car seat. It looks just as it is pictured comes with head/neck support cushion. The material was soft and fuzzy very comfortable for a little baby. It is side crash tested and the base is adjustable you can recline it at 3 different levels. I highly recommend this it item.
Is Good First Time Dslr,he biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Washing Most Of It,I purchased two Transcend 8GB Class 10 SDHC Card TS8GSDHC10 from Amazon and so far these have been amazing.  I have the camera saving in both RAW and JPEG until I can get familiar enough to switch completely to RAW.  Saving in this format is 20MB a picture and this card has no trouble keeping up.
Price,the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking
Value,This car seat is very easy to get baby in and out of is nice and heavy very durable and I love that it has a higher weight limit as well. This also has very nice fabric thats soft to the touch and the buckle system is heavy duty and easy to use as well. Overall a very nice car seat for the price.
Value,I upgraded from a Canon 20D to this specific model after several hours of navigating product reviews and I dont regret it the other contenders were the T3i and T3 close  range and after careful though on ISO performance MPs price and features I decided that this model offered me the best balance. 
Lens,the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Lens, the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Value For Money,Cons- Price- Built-in flash is not so great. Also when taking pictures on wide angle setting lens creates a shade.- No autofocus when zooming while taking video pressing shutter button half way focuses the picture.- Focus in live picture mode is slow even slower than on most point and shoot cameras
Lens Kit,One disappointment was that the seat cover is made of a material where the velcro on my sons shoes frayed it and the seat cover became scratchy.  I emailed customer service with pictures and they sent me a new cover that is a suede-like plush material -- free of charge  I was pleasantly surprised. 
Picture Quality,The bottom line is that images from the D3100 are indistinguishable from the more expensive models.  Ergonomically the D3100 is the easier to use compared to the D5100 that had to relinquish four buttons to make room for the swivel screen of the D5100.  Following is a link to my review of the D3100
Video Quality,the next problem I encountered was trying to get the correct extra base. They tell you to get the base for the snug ride 35 but there is not a level indicator on that base. Therefore when you are installing your snug ride 30 car seat with a snug ride 35 base you cannot tell if the car seat is level.
Editing,You would expect Auto Modes to take easy great pictures in an entry level camera most people coming from point and shoot cameras.  If you want sharp pictures you have to use P S A or M modes with the D3100.  There you can control the ISO manually or use Auto ISO and choose a lower maximum ISO setting.
Quality,cons the biggest is this darn sun visor. While it is very large the middle section is made of mesh. When the sun is bright it goes straight through the mesh and into the babys eyes. I am constantly trying to move the visor or the stroller to keep the sun out. Whoever thought to use mesh wasnt thinking.
Lense Value,I drive a Hyundai Sonata so we have decent room in my car for the seat but weve also put it in a friends four runner and my husbands Elantra and it has fit really well in all cars.  It is bigger than a lot of other car seats out there but I also feel like it is really well constructed and pretty comfy.
Safety,lk Video I have taken alot for Football and I can not believe the quality and sound you would have thought I used a real video camera and not one from a camera it has surpassed what I have expected for a camera I am unbelievably happy with my purchase. Amazon thank you for the quick delivery yet again 
Taking Wide Angle Pictures,Camera is just amazing. For a begginer in the professional photography area I definetly see an ocean of difference between the t2i and point and shoot cameras. Picture quality on this t2i is stunning so many features that it will take me months to figure out how to really get the most out of this camera
Seat Material, I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100  I guess now i can finally retire my mini DV video camera.
Weight,I sent that camera back and purchased a new one from Amazon.  Same problem.  Well I have since done some research and participated in forums and found out there is a problem with the D3100 choosing very high ISO levels in Auto Mode no matter the setting.  This is causing the grain/dull/no detailed photos.
Intermediate Shooters,he pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.  I changed the camera to P S A 
Overall Use And Picture/video Capability,his seat is great and my son LOVES it   He used to fuss in his carrier/ infant seat but he doesnt at all here.  I am going to order another one of these for my husbands car.  It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
External,The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.  I changed the camera to P S A 
Comfort,They all said the t2i or t3i its a great starter camera and will profuce amazing pictures as well. I will say that if I could buy it again I would but not with the kit lenses yes it seems like a good deal. But anyone that knows cameras and knows their way around with them will tell you they are crap lenses. 
Comfort,  The pictures looked dull and when I looked at the original file I noticed it was from the amount of grain in the picture.  The grain was drowning out the details and almost made the picture look out of focus.  It was happening whether I was indoor or outdoor flash or no flash.  I changed the camera to P S A 
Comfort,The process here was like a dream brought to life. The instructions were simple and there was no wondering whether or not you got it right. Although the seat is big which I love I was able to fit it easily and securely in the back of my Nissan Sentra. As for sleeping my little ones head did not hang over once.
Convenience,I came to the decision that the only cameras I liked that felt good in my hand were the Canon T2i Nikon D5100 and the Can T3i. I went for the T3i over the T2i because of the articulating LCD screen. I personally preferred the Canon T3i over the Canon T2i because of that one reason only which is not a huge deal.
Child Comfortable,Seriously disappointed with this carseat  Graco put overall adequate padding in the back part but where the baby sits there is absolutely NO padding.  -So babies only have the carseat covers thickness as padding and thats it. which is a joke to consider  padding  So theyre essentially sitting on the hard plastic.
Customer Service,1. Light weight great body design. Even with my bigger hands I can handle the camera with comfortability.2. Easy to operate. The buttons are spread evenly on left side and right side so you can use them with both hands quickly. For Canon t2i you do most things with your right thumb that slows you down a little bit.
Weight,Im a film student and was trying to decide between a t3i and Nikon 5100. everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera. the 600d has better continuous recording you have better manual capabilities. after a lot research i decided to go with the canon
Size,t teaches you how to set up the camera for fantastic shots.  I have learned more using that mode in one week than from the weeks Ive spent reading books and websites.  For the money I saved on the camera I was able to purchase a telephoto lens to go with it.  Worth every penny.  I look forward to many years of great photos.
Size,Im glad to have this camera it has everything comparable to canon t2  1080p movie 14.2 mp 502g light weight. 3 inch screen . i dont really mind the 230k dots screen its very bright and clear anyways compare to 900+ dots  .  the price in amazon is very cheap. I got it for 699  including the VR 55-200mm + camera bag with DVD .
Size,No need for that this seat is great and my son LOVES it   He used to fuss in his carrier/ infant seat but he doesnt at all here.  I am going to order another one of these for my husbands car.  It is so easy to use and install   Bonus- its wallet friendly and in this economy who wouldnt want to save a buck on a great product 
Size,After extensive research and practically being settled on the Britax Advocate I feel like you get what you pay for I was told about this car seat and figured I would give it a try.  Worse case I would just use it in my husbands car and then order the Britax for my car.  No need for that this seat is great and my son LOVES it 
Weight,I researched for several weeks looking seriously at the Canon T2i and the Nikon D3100.  For the money the D3100 cant be beat.  What sold me was the guide mode.  It teaches you how to set up the camera for fantastic shots.  I have learned more using that mode in one week than from the weeks Ive spent reading books and websites.
Features,I took the camera out to the beach and tested it and was amazed by the Canon T3i quality. I literally took a picture of a surfer 75 Yards away with the kit lens and was able to zoom in in Photoshop and crop an up close beautiful detailed picture of the surfer. The quality is amazing I am upgrading from a Canon XSI and love it.
Convenience,The  wings  that I referred to earlier the things that stick out on either side of her head do not clean easily   My daughter puked ALL over her carseat and while the main carseat pad comes off and can be laundered in the machine the part that attaches to the headrest DOES NOT come off and therefore needs to be cleaned by hand.
Weight,My daughter loves this carseat - its very comfortable and appears to be very safe.  Some seats seemed too bulky and I know my daughter would be a sweaty mess in those styles.  This seat seems to breathe so she remains a comfortable temperature while securely strapped in.  The seat is easy to install and buckle her into as well. 
Weight,My only issue with the T3i concerns the GRID functions. These work only in LIVE VIEW MODE as Ive found so far. As soon as you move up to manual for full control you lose the grid I use the 3x3 which helps me set my composition. Yes I can use my eye to place an imaginary grid in the viewfinder but WHY when one is readily available
Weight,My only issue with the T3i concerns the GRID functions. These work only in LIVE VIEW MODE as Ive found so far. As soon as you move up to manual for full control you lose the grid I use the 3x3 which helps me set my composition. Yes I can use my eye to place an imaginary grid in the viewfinder but WHY when one is readily available.
Weight,3. The lens makes noises when youre recording videos using the continuous auto focus function and sometimes its not very accurate. If you buy this camera and this is your concern you can simply use manual focus which is not difficult.4. Battery life is not too great. I need to charge it everyday. To be safe consider to buy an extra
Weight,I own a Nikon D7000 that I traded up to after owning a D3100 that I used to take over 8000 photos with.  Ive also extensively used a Nikon D5100 so I have a pretty good sense of the capability of each of Nikons three consumer cameras.  The bottom line is that images from the D3100 are indistinguishable from the more expensive models.
Lens,between a t3i and Nikon 5100. everyone tells me that Nikon has a better lenses but when it comes down to it you can buy any lens for your camera. the 600d has better continuous recording you have better manual capabilities. after a lot research i decided to go with the canon i went with a t3i and not a t2i for the flip around screen. 
Portability,The best part was the 1080P video. I took a dance performances of my wife and Kids at local community get together and they came out so good and my wife who is very difficult to please liked it so much that she said that next time we will shoot the video only with our Nikon D3100  I guess now i can finally retire my mini DV video camera
Weigh,I also find it really easy to install please do read all the directions first but after that time investment I havent had any issues installing it quickly and securely.  Plus the seat seams padded well and comfortable for my son.  Ive felt a lot of other car seats out there that feel like theyd be pretty hard to sit on and uncomfortable.
Lens,The instructions say to lift the seat pad when threading the belt through which I did but then once the seat was installed I couldnt get the pad back down over the seat where it was against the seat back of the actual vehicle seat.  So I had to uninstall it and reinstall it with the pad in its proper place making it very difficult to do.
Lens,I used the same exact settings on both cameras large Jpeg P-mode Quick AF.  Compared to the instant responsiveness of the T2i this was plain annoying and caused me to miss numerous shots.  I used the same class 10 SDHC chip in both cameras but -- this is interesting -- even without any memory chip in the camera the delays are still there.
